pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_spectype,st_teff,st_rad,st_mass,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
K2-240 c,K2-240,1,2,Transit,2018,K2,20.523,0.1159,1.8,3.89,389.0,M0.5 V,3810.0,0.54,0.58,72.9105,13.372,9.56,12.6212
K2-241 b,K2-241,1,1,Transit,2018,K2,26.8199,0.1567,2.55,7.04,507.0,,5262.0,0.75,0.71,149.464,11.97,9.933,11.7562
K2-242 b,K2-242,1,1,Transit,2018,K2,6.51389,0.0494,2.54,6.99,416.0,,3459.0,0.37,0.38,109.237,16.414,11.777,15.3818
K2-243 b,K2-243,1,2,Transit,2018,K2,11.54182,0.1087,2.17,5.35,1035.0,,6570.0,1.39,1.29,266.864,10.971,9.591,10.7424
K2-243 c,K2-243,1,2,Transit,2018,K2,24.94598,0.1817,2.01,4.7,801.0,,6570.0,1.39,1.29,266.864,10.971,9.591,10.7424
K2-244 b,K2-244,1,1,Transit,2018,K2,21.06884,0.1418,1.75,3.71,638.0,,5677.0,0.92,0.86,212.902,11.78,10.163,11.6317
K2-245 b,K2-245,1,1,Transit,2018,K2,11.89307,0.0959,4.34,17.4,923.0,,5793.0,1.25,0.83,456.064,12.755,11.158,12.5639
K2-246 b,K2-246,1,1,Transit,2018,K2,5.76918,0.0602,3.49,12.0,977.0,,5610.0,0.94,0.87,703.616,14.792,12.788,14.3512
K2-247 b,K2-247,1,2,Transit,2018,K2,2.25021,0.0304,2.12,5.14,979.0,,4667.0,0.69,0.74,258.113,14.857,11.556,14.3583
K2-247 c,K2-247,1,2,Transit,2018,K2,6.49424,0.0615,2.19,5.43,688.0,,4667.0,0.69,0.74,258.113,14.857,11.556,14.3583
K2-248 b,K2-248,1,1,Transit,2018,K2,7.17256,0.0699,2.57,7.13,886.0,,5528.0,0.92,0.88,406.254,13.497,11.643,13.2616
K2-249 b,K2-249,1,1,Transit,2018,K2,12.409,0.1151,2.79,8.2,1061.0,,6504.0,1.57,1.32,521.716,12.646,10.883,12.4497
K2-25 b,K2-25,1,1,Transit,2015,K2,3.48456408,0.0287,3.44,24.5,494.0,M4.5 V,3207.0,0.29,0.26,44.9565,16.21,10.444,14.3817
K2-250 b,K2-250,1,1,Transit,2018,K2,4.01457,0.0459,2.44,6.53,958.0,,5172.0,0.81,0.8,414.708,14.314,12.016,13.9725
K2-251 b,K2-251,1,1,Transit,2018,K2,9.30075,0.0694,2.35,6.12,437.0,,3717.0,0.49,0.52,147.03,15.66,11.515,14.7702
K2-252 b,K2-252,1,1,Transit,2018,K2,13.81513,0.1041,1.74,3.68,639.0,,5152.0,0.82,0.79,228.839,12.93,10.683,12.6201
K2-253 b,K2-253,1,1,Transit,2018,K2,4.00167,0.0506,12.67,,1238.0,,6027.0,1.1,1.08,876.565,15.002,12.947,14.7042
K2-254 b,K2-254,1,2,Transit,2018,K2,4.09639,0.0448,1.63,3.29,791.0,,4629.0,0.67,0.71,227.775,14.238,11.296,13.7427
K2-254 c,K2-254,1,2,Transit,2018,K2,12.11839,0.0923,2.19,5.43,551.0,,4629.0,0.67,0.71,227.775,14.238,11.296,13.7427
K2-255 b,K2-255,1,1,Transit,2018,K2,1.96417,0.0274,2.9,8.75,1034.0,,4676.0,0.69,0.71,191.608,13.662,10.827,13.3087
K2-257 b,K2-257,1,1,Transit,2018,K2,1.60588,0.0216,0.83,0.498,789.0,,3725.0,0.5,0.52,64.0065,13.716,9.661,12.8602
K2-258 b,K2-258,1,1,Transit,2018,K2,19.0921,0.149,3.0,9.27,831.0,,6351.0,1.31,1.21,661.873,13.361,11.782,13.1388
K2-259 b,K2-259,1,1,Transit,2018,K2,15.48043,0.1271,2.32,5.99,795.0,,6059.0,1.13,1.14,416.457,12.511,11.115,12.375
K2-26 b,K2-26,1,1,Transit,2016,K2,14.5665,0.0962,2.67,7.61,430.0,M1.0 V,3785.0,0.52,0.56,99.0504,14.528,10.53,13.7519
K2-260 b,K2-260,1,1,Transit,2018,K2,2.6266657,0.0404,17.396,451.3186,1957.0,F6 V,6367.0,1.69,1.39,663.834,12.624,11.093,12.4667
K2-261 b,K2-261,1,1,Transit,2018,K2,11.633478,0.1034,9.528,59.75174,1046.0,G7 IV/V,5445.0,1.64,1.09,213.283,10.612,8.89,10.4594
K2-263 b,K2-263,1,1,Transit,2018,K2,50.818947,0.2573,2.41,14.9,470.0,G9 V,5368.0,0.85,0.88,162.481,11.568,9.748,11.4055
K2-264 b,K2-264,1,2,Transit,2018,K2,5.840002,0.05023,2.231,5.61,496.0,M2.5 V,3660.0,0.47,0.5,185.605,16.701,12.183,15.6625
K2-264 c,K2-264,1,2,Transit,2018,K2,19.660302,0.11283,2.668,7.6,331.0,M2.5 V,3660.0,0.47,0.5,185.605,16.701,12.183,15.6625
K2-265 b,K2-265,2,1,Transit,2018,K2,2.369172,0.03376,1.71,6.54,,G8 V,5477.0,0.98,0.92,138.671,11.187,9.259,10.9277
K2-266 b,K2-266,2,4,Transit,2018,K2,0.658524,0.01306,3.3,11.26782,1515.0,,4285.0,0.7,0.69,77.5586,11.625,8.897,11.3527
K2-266 c,K2-266,2,4,Transit,2018,K2,7.814,0.0679,0.705,0.29013,664.0,,4285.0,0.7,0.69,77.5586,11.625,8.897,11.3527
K2-266 d,K2-266,2,4,Transit,2018,K2,14.697,0.1035,2.93,8.9,538.0,,4285.0,0.7,0.69,77.5586,11.625,8.897,11.3527
K2-266 e,K2-266,2,4,Transit,2018,K2,19.482,0.1249,2.73,14.3,490.0,,4285.0,0.7,0.69,77.5586,11.625,8.897,11.3527
K2-268 b,K2-268,1,5,Transit,2018,K2,2.151676,0.0308,1.5,2.86,1136.0,,5106.0,0.78,0.84,327.783,13.848,11.639,13.5627
K2-268 c,K2-268,1,5,Transit,2018,K2,9.327527,0.0819,2.69,7.7,696.0,,5106.0,0.78,0.84,327.783,13.848,11.639,13.5627
K2-268 d,K2-268,1,5,Transit,2019,K2,4.528598,,1.49,2.83,888.0,,5106.0,0.78,0.84,327.783,13.848,11.639,13.5627
K2-268 e,K2-268,1,5,Transit,2019,K2,6.131243,,1.33,2.33,801.0,,5106.0,0.78,0.84,327.783,13.848,11.639,13.5627
K2-268 f,K2-268,1,5,Transit,2019,K2,26.27057,,2.23,5.6,492.0,,5106.0,0.78,0.84,327.783,13.848,11.639,13.5627
K2-269 b,K2-269,1,1,Transit,2018,K2,4.144965,0.0531,1.57,3.09,1429.0,,6209.0,1.45,1.16,360.76,11.784,10.212,11.377
K2-27 b,K2-27,3,1,Transit,2016,K2,6.771315,0.06702,4.48,30.9,902.0,,5248.0,0.89,0.87,249.645,12.689,10.704,12.4528
K2-270 b,K2-270,1,2,Transit,2018,K2,1.543069,0.0247,1.38,2.48,1203.0,,4877.0,0.77,0.85,280.518,13.847,11.368,13.4701
K2-270 c,K2-270,1,2,Transit,2018,K2,4.400028,0.0497,2.95,9.01,848.0,,4877.0,0.77,0.85,280.518,13.847,11.368,13.4701
K2-271 b,K2-271,1,1,Transit,2018,K2,8.562421,0.077,7.28,41.8,893.0,,5644.0,0.99,0.83,564.454,13.845,12.154,13.6582
K2-272 b,K2-272,1,1,Transit,2018,K2,14.4536756,0.1007,3.13,9.96,747.0,,5397.0,0.83,0.86,423.065,13.872,12.0,13.6668
K2-273 b,K2-273,1,1,Transit,2018,K2,11.7195663,0.0729,3.05,9.53,849.0,,5161.0,0.85,0.89,308.105,13.246,11.3,13.1461
K2-274 b,K2-274,1,1,Transit,2018,K2,14.1330314,0.0964,2.08,4.98,655.0,,5044.0,0.7,0.79,228.327,13.181,10.986,12.8852
K2-275 b,K2-275,1,2,Transit,2018,K2,3.2809626,0.0277,2.34,6.08,1166.0,,4841.0,0.69,0.77,123.438,11.974,9.749,11.8139
K2-275 c,K2-275,1,2,Transit,2018,K2,8.4388385,0.0881,2.21,5.52,653.0,,4841.0,0.69,0.77,123.438,11.974,9.749,11.8139
K2-276 b,K2-276,1,1,Transit,2018,K2,18.718269,0.1291,3.77,13.7,583.0,,5139.0,0.85,0.82,488.152,14.654,12.26,14.3792
K2-277 b,K2-277,1,1,Transit,2018,K2,6.326763,0.0675,2.07,4.94,958.0,,5741.0,0.97,1.02,113.123,10.364,8.687,10.1214
K2-278 b,K2-278,1,1,Transit,2018,K2,3.334966,0.0488,2.98,9.17,1711.0,,6747.0,1.61,1.4,786.439,13.446,11.701,13.2538
K2-279 b,K2-279,1,1,Transit,2018,K2,7.122605,0.067,1.21,1.92,879.0,,5558.0,0.86,0.79,182.983,11.491,9.994,11.5907
K2-28 b,K2-28,1,1,Transit,2016,K2,2.260455,0.0214,2.32,5.99,568.0,M4,3214.0,0.29,0.26,62.9969,16.526,10.746,14.6799
K2-280 b,K2-280,1,1,Transit,2018,K2,19.89526,0.1461,7.5,37.1,787.0,,5500.0,1.28,1.03,391.537,12.524,10.765,12.3604
K2-281 b,K2-281,1,1,Transit,2018,K2,8.687721,0.0773,8.18,50.9,665.0,,4812.0,0.76,0.82,458.139,15.048,12.523,14.7677
K2-282 b,K2-282,1,2,Transit,2018,K2,4.169783,0.0499,2.5,6.8,1057.0,,5499.0,1.0,0.95,496.289,14.21,12.002,13.8183
K2-283 b,K2-283,1,1,Transit,2018,K2,1.921036,0.0291,3.52,12.2,1186.0,,5060.0,0.82,0.89,402.915,14.364,11.983,14.1316
K2-284 b,K2-284,1,1,Transit,2018,K2,4.795069,0.04771,2.78,8.15,653.0,,4140.0,0.61,0.63,107.272,13.265,10.058,12.8598
K2-285 b,K2-285,1,4,Transit,2018,K2,3.471745,0.03817,2.59,9.68,1089.0,K2 V,4975.0,0.79,0.83,154.961,12.075,9.971,11.804
K2-285 c,K2-285,1,4,Transit,2018,K2,7.138048,0.0824,3.53,15.68,741.0,K2 V,4975.0,0.79,0.83,154.961,12.075,9.971,11.804
K2-285 d,K2-285,1,4,Transit,2018,K2,10.45582,0.1178,2.48,6.5,620.0,K2 V,4975.0,0.79,0.83,154.961,12.075,9.971,11.804
K2-285 e,K2-285,1,4,Transit,2018,K2,14.76289,0.18041,1.95,10.7,501.0,K2 V,4975.0,0.79,0.83,154.961,12.075,9.971,11.804
K2-286 b,K2-286,1,1,Transit,2018,K2,27.359,0.1768,2.1,5.06,347.0,M0 V,3926.0,0.62,0.64,76.1486,12.881,9.317,12.1652
K2-287 b,K2-287,1,1,Transit,2018,K2,14.893291,0.1206,9.494,100.11645,804.0,,5695.0,1.07,1.06,158.335,11.41,9.188,11.067
K2-288 B b,K2-288 B,2,1,Transit,2018,K2,31.393463,0.164,1.9,4.27,226.0,M3 V,3341.0,0.32,0.33,65.6138,13.868,9.724,14.5451
K2-289 b,K2-289,1,1,Transit,2019,K2,13.156969,0.107,9.1,61.0,753.0,,5529.0,1.03,0.95,274.3,14.81,10.641,13.7943
K2-29 b,K2-29,2,1,Transit,2016,K2,3.2588321,0.04217,13.339,232.0159,1171.0,G7 V,5358.0,0.86,0.94,178.475,12.532,10.062,12.2008
K2-290 b,K2-290,3,2,Transit,2019,K2,9.21165,0.0923,3.06,10.9,1230.0,,6302.0,1.51,1.19,272.909,11.114,9.42,10.8204
K2-290 c,K2-290,3,2,Transit,2019,K2,48.36685,0.305,11.276,246.00042,676.0,,6302.0,1.51,1.19,272.909,11.114,9.42,10.8204
K2-291 b,K2-291,1,1,Transit,2019,K2,2.225177,0.03261,1.589,6.49,1203.0,,5520.0,0.9,0.93,90.0562,10.014,8.353,9.86639
K2-292 b,K2-292,1,1,Transit,2019,K2,16.9841,0.13,2.63,24.5,795.0,G3 V,5725.0,1.09,1.0,114.293,9.885,8.407,9.75597
K2-293 b,K2-293,1,1,Transit,2019,K2,13.1225,,2.45,6.57,750.0,,5532.0,0.95,0.96,392.251,13.44,11.544,13.1611
K2-294 b,K2-294,1,1,Transit,2019,K2,2.50387,,1.66,3.39,1425.0,,5612.0,1.2,0.99,373.078,12.649,10.859,12.37
K2-295 b,K2-295,1,1,Transit,2018,K2,4.024867,0.0451,10.054,106.47305,852.0,K5 V,4444.0,0.7,0.74,232.801,13.8941,11.135,13.5184
K2-3 b,K2-3,1,3,Transit,2015,K2,10.0546535,0.0747,2.078,5.11,501.0,M V,3844.0,0.55,0.55,44.0727,12.168,8.561,11.4785
K2-3 c,K2-3,1,3,Transit,2015,K2,24.646729,0.1357,1.582,2.68,372.0,M V,3844.0,0.55,0.55,44.0727,12.168,8.561,11.4785
K2-3 d,K2-3,1,3,Transit,2015,K2,44.55603,0.2014,1.458,2.2,305.0,M V,3844.0,0.55,0.55,44.0727,12.168,8.561,11.4785
K2-30 b,K2-30,1,1,Transit,2016,K2,4.098503,0.04839,11.646,184.02357,1092.0,G6 V,5425.0,0.84,0.9,333.042,13.547,11.088,13.2056
K2-308 b,K2-308,1,1,Transit,2019,K2,3.38628,,9.916,70.6,1214.0,,6100.0,1.24,1.09,1314.53,15.072,13.206,14.8949
K2-31 b,K2-31,2,1,Transit,2016,K2,1.25785,0.022,11.882,563.83042,,G7 V,5280.0,0.78,0.91,110.527,10.802,8.866,10.5371
K2-312 c,HD 80653,1,2,Radial Velocity,2023,Roque de los Muchachos Observatory,921.2,1.961,12.8,1719.45168,,G2,5959.0,1.22,1.18,109.86,9.452,8.018,9.30733
K2-315 b,K2-315,1,1,Transit,2020,K2,3.1443189,,0.95,0.809,460.0,M(3.5+/-0.5) V,3300.0,0.2,0.17,56.9686,17.67,11.838,15.6791
K2-316 b,K2-316,1,2,Transit,2020,K2,1.133,0.0147,1.33,2.33,841.0,,3436.0,0.38,0.41,112.486,17.14,11.911,15.514
K2-316 c,K2-316,1,2,Transit,2020,K2,5.26,0.0582,1.83,4.01,423.0,,3436.0,0.38,0.41,112.486,17.14,11.911,15.514
K2-317 b,K2-317,1,1,Transit,2020,K2,6.22,0.0542,2.93,8.91,432.0,,3387.0,0.38,0.4,176.291,17.74,12.99,16.6387
K2-318 b,K2-318,1,1,Transit,2020,K2,7.01,0.0911,1.66,3.39,456.0,,3851.0,0.55,0.56,147.866,15.8,11.152,14.3967
K2-319 b,K2-319,1,1,Transit,2020,K2,26.68,0.1516,2.79,8.2,641.0,,5440.0,0.9,0.95,209.071,12.213,10.223,11.9397
K2-32 b,K2-32,2,4,Transit,2016,K2,8.992,0.0795,5.299,15.0,837.0,G9 V,5271.0,0.86,0.83,157.682,12.304,9.821,12.0036
K2-32 c,K2-32,2,4,Transit,2016,K2,20.66093,0.13843,3.134,8.1,634.0,G9 V,5271.0,0.86,0.83,157.682,12.304,9.821,12.0036
K2-32 d,K2-32,2,4,Transit,2016,K2,31.71701,0.18422,3.484,6.7,550.0,G9 V,5271.0,0.86,0.83,157.682,12.304,9.821,12.0036
K2-32 e,K2-32,2,4,Transit,2019,K2,4.34934,0.04899,1.212,2.1,1066.0,G9 V,5271.0,0.86,0.83,157.682,12.304,9.821,12.0036
K2-320 b,K2-320,1,1,Transit,2020,K2,1.995,0.0142,2.62,7.37,698.0,,3157.0,0.3,0.12,108.74,17.81,12.508,16.3554
K2-321 b,K2-321,1,1,Transit,2020,K2,2.298,0.041,1.95,4.46,701.0,,3855.0,0.58,0.6,77.6888,13.677,9.567,12.8241
K2-322 b,K2-322,1,1,Transit,2020,K2,8.205,0.0594,1.92,4.35,635.0,,4141.0,0.6,0.63,123.415,13.963,10.413,13.3108
K2-323 b,K2-323,1,1,Transit,2020,K2,24.93,0.1275,2.1,5.06,318.0,,3710.0,0.55,0.48,118.318,14.935,10.789,14.0693
K2-324 b,K2-324,1,1,Transit,2020,K2,3.262,0.0331,2.43,6.48,707.0,,3752.0,0.51,0.52,136.667,15.223,11.237,14.5172
K2-325 b,K2-325,1,1,Transit,2020,K2,6.93,0.0419,2.2,5.48,423.0,,3287.0,0.3,0.27,111.638,17.77,12.352,16.137
K2-326 b,K2-326,1,1,Transit,2020,K2,1.256,0.0198,2.28,5.82,1114.0,,3924.0,0.69,0.51,282.308,15.982,12.091,15.0082
K2-329 b,K2-329,1,1,Transit,2020,K2,12.4551225,0.1016,8.676,82.6358,650.0,,5282.0,0.82,0.9,233.237,12.697,10.668,12.4462
K2-33 b,K2-33,1,1,Transit,2016,K2,5.424865,0.0409,5.04,1175.971,850.0,M3.3,3540.0,1.05,0.56,139.268,15.838,10.026,14.157
K2-330 b,K2-330,1,1,Transit,2016,K2,13.774798,,2.77,8.1,969.0,,6232.0,1.5,1.23,160.125,9.608,8.412,9.51275
K2-331 b,K2-331,1,2,Transit,2021,K2,9.398977,,1.79,3.86,909.0,,5994.0,1.06,1.1,211.43,11.305,9.804,11.1945
K2-331 c,K2-331,1,2,Transit,2018,K2,22.996591,,2.72,7.85,673.0,,5994.0,1.06,1.1,211.43,11.305,9.804,11.1945
K2-332 b,K2-332,1,1,Transit,2016,K2,17.70632,,2.2,5.48,266.0,,3315.0,0.28,0.27,123.202,,12.638,16.4791
K2-333 b,K2-333,1,1,Transit,2018,K2,14.759287,,6.18,31.6,826.0,,5880.0,1.22,1.06,343.99,12.073,10.596,11.9866
K2-334 b,K2-334,1,1,Transit,2018,K2,5.113981,,5.65,27.2,1380.0,,6502.0,1.49,1.36,371.823,11.842,10.234,11.3479
K2-335 b,K2-335,1,1,Transit,2016,K2,12.283211,,2.21,5.52,949.0,,6222.0,1.33,1.23,557.993,12.556,11.281,12.4741
K2-336 b,K2-336,1,1,Transit,2016,K2,21.194733,,1.22,1.98,569.0,,5424.0,0.8,0.86,239.289,12.803,10.796,12.5114
K2-337 b,K2-337,1,1,Transit,2016,K2,16.273563,,2.62,7.37,850.0,,5869.0,1.32,0.94,421.636,12.385,10.804,12.2299
K2-338 b,K2-338,1,1,Transit,2016,K2,3.850614,,1.03,1.08,783.0,,4558.0,0.63,0.66,156.951,13.322,10.613,13.0455
K2-339 b,K2-339,1,1,Transit,2019,K2,19.507428,,1.92,4.35,508.0,,4857.0,0.72,0.74,360.36,14.487,12.173,14.3436
K2-34 b,K2-34,1,1,Transit,2016,K2,2.9956348,0.0442,13.75,539.67534,1687.0,F,6168.0,1.42,1.16,348.646,11.447,10.193,11.4357
K2-340 b,K2-340,1,1,Transit,2016,K2,29.740451,,3.36,11.2,606.0,,5532.0,1.13,0.93,738.136,14.428,12.435,14.1327
K2-341 b,K2-341,1,1,Transit,2018,K2,36.552551,,3.21,10.4,598.0,,5817.0,1.16,0.98,421.408,12.725,11.17,12.5585
K2-342 b,K2-342,1,1,Transit,2018,K2,11.561052,,2.03,4.78,861.0,,5920.0,1.09,1.01,208.357,11.338,9.71,11.0702
K2-343 b,K2-343,1,2,Transit,2019,K2,2.787174,,1.65,3.36,653.0,,3804.0,0.46,0.49,166.169,16.01,11.855,15.1312
K2-343 c,K2-343,1,2,Transit,2018,K2,7.676972,,2.02,4.74,465.0,,3804.0,0.46,0.49,166.169,16.01,11.855,15.1312
K2-344 b,K2-344,1,1,Transit,2018,K2,3.35585,,1.59,3.15,722.0,,4374.0,0.49,0.51,75.1691,13.423,9.662,12.7423
K2-345 b,K2-345,1,1,Transit,2016,K2,10.367437,,2.11,5.1,437.0,,3779.0,0.52,0.56,162.408,15.72,11.46,14.6951
K2-346 b,K2-346,1,1,Transit,2016,K2,26.201446,,2.26,5.73,450.0,,4801.0,0.7,0.71,105.58,11.903,9.501,11.6828
K2-347 b,K2-347,1,1,Transit,2016,K2,7.187257,,2.41,6.39,640.0,,4599.0,0.63,0.66,320.336,15.15,12.3,14.8131
K2-348 b,K2-348,1,2,Transit,2018,K2,4.688418,,3.26,10.7,908.0,,5077.0,0.85,0.83,201.856,12.572,10.381,12.3271
K2-348 c,K2-348,1,2,Transit,2018,K2,12.550171,,2.67,7.61,655.0,,5077.0,0.85,0.83,201.856,12.572,10.381,12.3271
K2-349 b,K2-349,1,1,Transit,2016,K2,9.032178,,1.38,2.48,518.0,,4385.0,0.49,0.54,453.567,14.585,12.204,14.1826
K2-35 b,K2-35,1,2,Transit,2016,K2,2.399964,0.031,1.32,2.3,979.0,K4 V,4402.71,0.62,0.7,252.596,14.166,11.423,13.9152
K2-35 c,K2-35,1,2,Transit,2016,K2,5.608352,0.055,1.93,4.38,766.0,K4 V,4402.71,0.62,0.7,252.596,14.166,11.423,13.9152
K2-350 b,K2-350,1,2,Transit,2021,K2,4.163873,,1.54,2.99,1158.0,,5789.0,1.04,0.98,489.368,13.449,11.776,13.3115
K2-350 c,K2-350,1,2,Transit,2016,K2,19.991944,,2.74,7.95,687.0,,5789.0,1.04,0.98,489.368,13.449,11.776,13.3115
K2-351 b,K2-351,1,1,Transit,2016,K2,7.806164,,2.54,6.99,934.0,,5769.0,1.05,1.02,694.734,14.195,12.497,13.9854
K2-352 b,K2-352,1,3,Transit,2021,K2,3.665912,,1.37,2.45,1160.0,,5791.0,0.95,0.98,176.051,11.125,9.691,11.1147
K2-352 c,K2-352,1,3,Transit,2018,K2,8.234885,,1.92,4.35,885.0,,5791.0,0.95,0.98,176.051,11.125,9.691,11.1147
K2-352 d,K2-352,1,3,Transit,2018,K2,14.871387,,2.23,5.6,727.0,,5791.0,0.95,0.98,176.051,11.125,9.691,11.1147
K2-353 b,K2-353,1,1,Transit,2021,K2,15.466805,,5.55,26.3,735.0,,5698.0,0.99,0.87,268.515,12.337,10.547,12.0988
K2-354 b,K2-354,1,1,Transit,2016,K2,3.793306,,1.56,3.05,543.0,,3669.0,0.41,0.43,91.722,15.296,10.964,14.3753
K2-355 b,K2-355,1,1,Transit,2021,K2,5.7385647,0.0632,2.25,5.69,1066.0,,5790.0,0.92,0.96,500.497,13.707,12.016,13.5297
K2-356 b,K2-356,1,1,Transit,2021,K2,21.0267366,0.1599,2.29,5.86,624.0,,5568.0,0.86,0.9,355.54,13.268,11.508,13.148
K2-357 b,K2-357,1,1,Transit,2021,K2,16.3488637,0.145,3.72,13.4,735.0,,5794.0,1.0,0.98,517.687,13.748,11.952,13.4792
K2-358 b,K2-358,1,1,Transit,2021,K2,11.2510285,0.0863,2.68,7.65,888.0,,5650.0,0.91,0.93,480.307,13.699,11.989,13.5733
K2-36 b,K2-36,1,2,Transit,2016,K2,1.422614,0.02288,1.43,4.3,1328.0,K2 V,4916.0,0.72,0.79,109.749,11.726,9.454001,11.527
K2-36 c,K2-36,1,2,Transit,2016,K2,5.340888,0.05528,3.2,7.9,854.0,K2 V,4916.0,0.72,0.79,109.749,11.726,9.454001,11.527
K2-365 b,K2-365,1,1,Transit,2022,K2,23.448172,,2.906,8.78,,,5561.0,1.05,0.82,187.222,11.372,9.623,11.5285
K2-366 b,K2-366,1,1,Transit,2022,K2,15.937039,,2.359,6.16,,,5601.0,0.94,0.83,185.947,12.636,9.875,12.1351
K2-367 b,K2-367,1,1,Transit,2022,K2,20.645099,,2.413,6.41,,,4348.0,0.62,0.76,176.965,13.794,10.957,13.3983
K2-368 b,K2-368,1,3,Transit,2022,K2,5.025598,,1.332,2.34,,,4663.0,0.66,0.75,206.608,13.581,11.042,13.2207
K2-368 c,K2-368,1,3,Transit,2022,K2,9.660186,,1.361,2.42,,,4663.0,0.66,0.75,206.608,13.581,11.042,13.2207
K2-368 d,K2-368,1,3,Transit,2022,K2,20.201085,,1.948,4.45,,,4663.0,0.66,0.75,206.608,13.581,11.042,13.2207
K2-369 b,K2-369,1,1,Transit,2022,K2,5.761612,,1.313,2.28,,,5682.0,0.88,0.73,185.55,11.789,9.934,11.3732
K2-37 b,K2-37,1,3,Transit,2016,K2,4.44117,0.0511,1.61,3.22,974.0,G3 V,5413.0,0.85,0.9,179.943,12.573,10.142,12.2573
K2-37 c,K2-37,1,3,Transit,2016,K2,6.42904,0.0654,2.75,8.0,861.0,G3 V,5413.0,0.85,0.9,179.943,12.573,10.142,12.2573
K2-37 d,K2-37,1,3,Transit,2016,K2,14.09189,0.1103,2.73,7.9,663.0,G3 V,5413.0,0.85,0.9,179.943,12.573,10.142,12.2573
K2-370 b,K2-370,1,1,Transit,2022,K2,2.14084,,3.207,10.4,1267.0,G8,5377.0,0.97,0.98,144.202,11.109,9.237001,10.8824
K2-371 b,K2-371,1,1,Transit,2022,K2,3.114905,,13.024,,957.0,,4925.0,0.74,0.96,442.813,14.492,12.391,14.3938
K2-372 b,K2-372,1,1,Transit,2022,K2,9.844077,,2.945,8.98,,,5479.0,0.92,0.85,463.88,13.589,11.87,13.4436
K2-373 b,K2-373,1,1,Transit,2022,K2,11.02066,,2.061,4.9,,,6138.0,1.49,1.16,229.567,10.47,9.163,10.4244
K2-374 b,K2-374,1,2,Transit,2022,K2,4.521953,,1.593,3.16,,G3,5789.0,0.91,0.73,359.439,12.783,11.287,12.6473
K2-374 c,K2-374,1,2,Transit,2022,K2,16.43445,,2.213,5.53,,G3,5789.0,0.91,0.73,359.439,12.783,11.287,12.6473
K2-375 b,K2-375,1,1,Transit,2022,K2,14.453895,,2.243,5.66,,,5822.0,1.54,1.12,696.1,13.164,11.557,12.9572
K2-376 b,K2-376,1,1,Transit,2022,K2,5.776475,,1.736,3.66,,G1,5937.0,1.15,0.91,161.61,10.415,9.007,10.2998
K2-377 b,K2-377,1,1,Transit,2022,K2,12.832235,,1.693,3.51,,,4200.0,0.69,0.82,195.149,14.107,10.994,13.5859
K2-378 b,K2-378,1,1,Transit,2022,K2,2.060438,,2.88,8.65,,,4823.0,0.73,0.92,687.973,16.029,13.392,15.5122
K2-379 b,K2-379,1,1,Transit,2022,K2,8.777247,,2.181,5.4,,,4603.0,0.75,0.86,182.207,13.265,10.514,12.8995
K2-38 b,K2-38,1,2,Transit,2016,K2,4.01593,0.0503,1.655,7.7,1310.0,G2 V,5705.0,1.14,1.05,192.69,11.344,9.47,11.184
K2-38 c,K2-38,1,2,Transit,2016,K2,10.56103,0.0959,2.49,7.4,949.0,G2 V,5705.0,1.14,1.05,192.69,11.344,9.47,11.184
K2-380 b,K2-380,1,1,Transit,2022,K2,9.401312,,2.729,7.89,,,5911.0,1.32,0.99,249.303,11.688,9.681,11.4419
K2-381 b,K2-381,1,3,Transit,2022,K2,7.9389334,,1.075,1.26,,,4473.0,0.68,0.75,145.701,12.883,10.302,12.6373
K2-381 c,K2-381,1,3,Transit,2022,K2,16.034656,,2.0,4.66,,,4473.0,0.68,0.75,145.701,12.883,10.302,12.6373
K2-381 d,K2-381,1,3,Transit,2022,K2,26.803023,,1.689,3.5,,,4473.0,0.68,0.75,145.701,12.883,10.302,12.6373
K2-382 b,K2-382,1,1,Transit,2022,K2,21.700156,,2.072,4.95,,,5452.0,0.81,0.92,278.412,12.977,11.046,12.7667
K2-383 b,K2-383,1,1,Transit,2022,K2,1.865962,,1.564,3.07,,,5129.0,0.8,1.06,203.788,12.689,10.456,12.4429
K2-384 b,K2-384,1,5,Transit,2022,K2,2.231527,,1.076,1.26,,M4 V,3623.0,0.35,0.33,82.6603,16.12,11.294,15.0276
K2-384 c,K2-384,1,5,Transit,2022,K2,4.194766,,1.191,1.82,,M4 V,3623.0,0.35,0.33,82.6603,16.12,11.294,15.0276
K2-384 d,K2-384,1,5,Transit,2022,K2,6.679582,,1.392,2.52,,M4 V,3623.0,0.35,0.33,82.6603,16.12,11.294,15.0276
K2-384 e,K2-384,1,5,Transit,2022,K2,9.715043,,1.345,2.37,,M4 V,3623.0,0.35,0.33,82.6603,16.12,11.294,15.0276
K2-384 f,K2-384,1,5,Transit,2022,K2,13.62749,,2.222,5.57,,M4 V,3623.0,0.35,0.33,82.6603,16.12,11.294,15.0276
K2-385 b,K2-385,1,1,Transit,2022,K2,2.380867,,1.539,2.98,,,4844.0,0.76,0.93,420.819,14.645,12.237,14.3355
K2-386 b,K2-386,1,1,Transit,2022,K2,7.473223,,2.32,5.99,,,5749.0,0.97,0.91,428.785,13.241,11.525,12.9931
