pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_spectype,st_teff,st_rad,st_mass,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
Kepler-150 d,Kepler-150,1,5,Transit,2014,Kepler,12.56093,0.104,2.79,8.2,734.0,,5560.0,0.94,0.94,891.092,15.161,13.367,14.9743
Kepler-150 e,Kepler-150,1,5,Transit,2014,Kepler,30.826557,0.189,3.12,9.91,544.0,,5560.0,0.94,0.94,891.092,15.161,13.367,14.9743
Kepler-150 f,Kepler-150,1,5,Transit,2017,Kepler,637.2093,1.24,3.64,12.9,,,5528.0,0.91,0.97,891.092,15.161,13.367,14.9743
Kepler-1500 b,Kepler-1500,1,1,Transit,2016,Kepler,15.0330105,0.1236,1.2,1.87,928.0,,5845.0,1.0,1.0,1217.82,14.728,13.03,14.5804
Kepler-1501 b,Kepler-1501,1,1,Transit,2016,Kepler,14.5564533,0.1228,1.56,3.05,787.0,,6229.0,1.3,1.2,749.06,13.683,12.364,13.6458
Kepler-1502 b,Kepler-1502,1,1,Transit,2016,Kepler,41.7083629,0.2482,3.18,10.2,608.0,,6666.0,1.72,1.44,1514.02,14.18,12.907,14.0931
Kepler-1503 b,Kepler-1503,1,1,Transit,2016,Kepler,96.16987,0.3771,2.27,5.77,321.0,,5069.0,0.74,0.77,1225.57,15.892,13.767,15.7862
Kepler-1504 b,Kepler-1504,1,1,Transit,2016,Kepler,82.304003,0.3704,2.13,5.18,485.0,,5393.0,0.81,0.85,2435.94,15.883,13.834,15.6311
Kepler-1505 b,Kepler-1505,1,1,Transit,2016,Kepler,30.8609366,0.1862,0.93,0.749,525.0,,5686.0,0.86,0.93,495.148,13.043,11.406,12.9258
Kepler-1506 b,Kepler-1506,1,1,Transit,2016,Kepler,14.0329154,0.1168,1.32,2.3,783.0,,5676.0,0.93,0.95,2366.02,15.836,14.082,15.6243
Kepler-1507 b,Kepler-1507,1,1,Transit,2016,Kepler,16.0506213,0.1234,0.84,0.52,630.0,,5410.0,0.85,0.89,320.478,13.267,11.386,13.1038
Kepler-1508 b,Kepler-1508,1,1,Transit,2016,Kepler,20.7056504,0.1629,1.33,2.33,967.0,,6158.0,1.22,1.14,1260.28,14.561,12.603,14.3466
Kepler-1509 b,Kepler-1509,1,1,Transit,2016,Kepler,25.4338197,0.1707,1.85,4.08,667.0,,5780.0,0.99,1.0,2002.96,15.455,13.887,15.3316
Kepler-151 b,Kepler-151,1,2,Transit,2014,Kepler,15.228958,0.116,3.06,9.59,639.0,,5460.0,0.83,0.87,649.919,14.957,12.864,14.7189
Kepler-151 c,Kepler-151,1,2,Transit,2014,Kepler,24.674612,0.16,2.09,5.02,544.0,,5460.0,0.83,0.87,649.919,14.957,12.864,14.7189
Kepler-1510 b,Kepler-1510,1,1,Transit,2016,Kepler,84.703921,0.4089,3.36,11.2,537.0,,6200.0,1.28,1.19,1696.25,15.315,13.728,15.1424
Kepler-1511 b,Kepler-1511,1,1,Transit,2016,Kepler,23.2382792,0.1753,1.68,3.46,903.0,,6064.0,1.29,1.17,1475.6,13.564,12.471,13.5024
Kepler-1512 b,Kepler-1512,1,1,Transit,2016,Kepler,20.35972599,0.1097,1.18,1.76,322.0,,4372.0,0.67,0.73,162.0,13.451,10.623,13.2634
Kepler-1513 b,Kepler-1513,1,2,Transit,2016,Kepler,160.8842,0.5416,8.594,48.30992,346.0,G V,5491.0,0.95,0.94,349.247,13.071,11.309,12.9559
Kepler-1513 c,Kepler-1513,1,2,Transit Timing Variations,2023,Multiple Observatories,841.4,,11.0,84.54236,,G V,5491.0,0.95,0.94,349.247,13.071,11.309,12.9559
Kepler-1514 b,Kepler-1514,1,2,Transit,2016,Kepler,217.83184,0.753,12.42,1678.1424,388.0,,6145.0,1.29,1.2,397.292,11.766,10.688,11.8292
Kepler-1514 c,Kepler-1514,1,2,Transit,2020,Kepler,10.514181,0.0997,1.176,1.74,1066.0,,6145.0,1.29,1.2,397.292,11.766,10.688,11.8292
Kepler-1515 b,Kepler-1515,1,1,Transit,2016,Kepler,214.3114164,0.7655,9.55,66.2,380.0,,6511.0,1.41,1.3,539.321,12.1,10.886,11.9975
Kepler-1516 b,Kepler-1516,1,1,Transit,2016,Kepler,7.25931979,0.0718,1.75,3.71,967.0,,5904.0,1.07,1.04,1358.95,14.65,12.815,14.4469
Kepler-1517 b,Kepler-1517,1,1,Transit,2016,Kepler,5.54608367,0.078,9.76,68.7,2336.0,,7010.0,1.95,1.58,847.299,12.228,11.303,12.1739
Kepler-1518 b,Kepler-1518,1,2,Transit,2016,Kepler,5.11177904,0.0593,3.05,9.53,1351.0,,6846.0,1.88,1.54,903.51,13.374,12.058,13.2803
Kepler-1518 c,Kepler-1518,1,2,Transit,2023,Kepler,9.6310258,0.0905,2.9,8.75,1094.0,,6432.0,1.34,1.06,903.51,13.374,12.058,13.2803
Kepler-1519 b,Kepler-1519,1,1,Transit,2016,Kepler,240.7989397,0.7655,7.06,39.6,342.0,,5644.0,0.91,0.94,1441.63,15.124,13.189,14.8034
Kepler-152 b,Kepler-152,1,2,Transit,2014,Kepler,18.207973,0.124,2.79,8.2,551.0,,5088.0,0.72,0.83,441.09,14.379,12.301,14.2437
Kepler-152 c,Kepler-152,1,2,Transit,2014,Kepler,88.255055,0.356,2.39,6.3,326.0,,5088.0,0.72,0.83,441.09,14.379,12.301,14.2437
Kepler-1520 b,Kepler-1520,1,1,Transit,2016,Kepler,0.65355357,0.0129,5.77,28.1,1437.0,,4677.0,0.71,0.76,607.917,16.002,13.319,15.6932
Kepler-1521 b,Kepler-1521,1,1,Transit,2016,Kepler,47.14840805,0.2317,2.5,6.8,391.0,,5042.0,0.76,0.81,206.983,13.049,10.84,12.8476
Kepler-1522 b,Kepler-1522,1,1,Transit,2016,Kepler,1.84788917,0.0288,1.73,3.64,1374.0,,5706.0,0.93,0.96,814.125,14.357,12.621,14.1963
Kepler-1523 b,Kepler-1523,1,1,Transit,2016,Kepler,0.93875077,0.0185,1.58,3.12,1676.0,,5708.0,0.96,0.97,865.596,14.993,13.182,14.8369
Kepler-1524 b,Kepler-1524,1,1,Transit,2016,Kepler,70.9674603,0.3392,3.54,12.3,438.0,,6179.0,1.25,1.17,381.773,12.802,11.263,12.7003
Kepler-1525 b,Kepler-1525,1,1,Transit,2016,Kepler,2.41660118,0.036,0.91,0.693,1343.0,,5748.0,1.04,1.07,382.989,12.797,11.193,12.6919
Kepler-1526 b,Kepler-1526,1,1,Transit,2016,Kepler,3.908632,0.0418,2.43,6.48,787.0,,4601.0,0.69,0.73,555.574,15.935,13.208,15.6551
Kepler-1527 b,Kepler-1527,1,1,Transit,2016,Kepler,160.129918,0.6276,4.77,20.4,450.0,,6224.0,1.32,1.21,1842.13,15.161,13.617,15.0782
Kepler-1528 b,Kepler-1528,1,1,Transit,2016,Kepler,1.79111021,0.0296,1.46,2.73,1549.0,,5857.0,1.03,1.03,817.534,14.576,13.032,14.4764
Kepler-1529 b,Kepler-1529,1,1,Transit,2016,Kepler,5.33905686,0.0525,2.1,5.06,817.0,,5048.0,0.77,0.81,661.014,15.297,13.257,15.3885
